state,location1,roster_link
Alabama,morgan,97.82.20.116/jailinmates.aspx
Indiana,boone,https://jailtracker.com/jtclientweb/(S(3pzyks554uc0me455r2cab55))/jailtracker/index/Boone_County_IN
Indiana,laporte,https://omsweb.public-safety-cloud.com/jtclientweb/(S(ye1qeu2jkpaoajbvw1wej053))/jailtracker/index/Laporte_County_IN
Indiana,pulaski,http://www.jailtracker.com/pcdc/pulaski_inmatelist.html
Indiana,st joseph,https://omsweb.public-safety-cloud.com/jtclientweb/(S(epjr1pdpgygsvp0g1l4wnmo3))/jailtracker/index/StJoseph_County_IN
California,kings,http://inmatelocator.countyofkings.com/Inmate/Index
Colorado,araphoe,https://www.inmateaid.com/inmate-profile-search
Georgia,effingham,http://interopweb.com/effinghamsojailpop/CurrentInmates.aspx
Georgia,habersham,http://www.interopweb.com/habersham/
Georgia,lamar,http://www.interopweb.com/lamarso/
Georgia,liberty,http://interopweb.com/libertyjailpop/
Georgia,madison,http://interopweb.com/madisonjailpop/CurrentInmates.aspx
Georgia,rabun,http://www.interopweb.com/rabun/jailpop/
Georgia,twiggs,interopweb.com/twiggsjailpop/
Georgia,whitfield,http://www.whitfieldcountyga.com/p2c/jailinmates.aspx
Florida,clay,http://p2c.claysheriff.com/jailinmates.aspx
Kentucky,campbell,https://omsweb.public-safety-cloud.com/jtclientweb/(S(31ewypcmplc5womnljnvgc4f))/jailtracker/index/Campbell_County_KY
Kentucky,grant,https://jailtracker.com/jtclientweb/(S(bmo4v045x5rj0445uschve55))/jailtracker/index/Grant_County_Ky
Michigan,muskegon,http://www.mcd911.net/p2c/jailinmates.aspx
North Carolina,cabarrus,http://onlineservices.cabarruscounty.us/p2c/jailinmates.aspx
North Carolina,new hannover,http://p2c.nhcgov.com/p2c/jailinmates.aspx
South Carolina,horry,http://p2c.cityofmyrtlebeach.com/p2c/jailinmates.aspx
Tennessee,carter,https://jailtracker.com/jtclientweb/(S(3bgmmz55ppvt4tjcmldqt5vo))/jailtracker/index/Carter_County_TN/
Texas,pearland,https://p2c.pearlandtx.gov/jailinmates.aspx
Texas,webster,http://p2c.websterpd.com/jailinmates.aspx
Texas,mansfield,http://p2c.mansfieldtexas.gov/jailinmates.aspx
Wyoming,sweet water,https://jailtracker.com/JTClientWeb/(S(e153van4bcp02n454wiyaw45))/jailtracker/Index/sweetwater_county_wy
Louisiana,tangipahoa,https://vinelink.com/#/search
New York,Orleans County,https://www.inmateaid.com/prisons/ny-doc-albion-correctional-facility
New York,Jefferson County,https://www.inmateaid.com/prisons/ny-doc-cape-vincent-correctional-facility
New York,Erie County,https://www.inmateaid.com/inmate-locator/ny-doc-collins-correctional-facility
New York,Greene County,https://www.inmateaid.com/prisons/ny-doc-coxsackie-correctional-facility
New York,New York City,https://www.inmateaid.com/prisons/ny-doc-edgecombe-residential-treatment-facility
New York,Seneca County,https://www.inmateaid.com/prisons/ny-doc-five-points-correctional-facility
New York,St. Lawrence County,https://www.inmateaid.com/prisons/ny-doc-gouverneur-correctional-facility
New York,Erie County,https://www.inmateaid.com/prisons/ny-doc-gowanda-correctional-facility
New York,,https://www.inmateaid.com/prisons/ny-doc-coxsackie-correctional-facility
New York,Livingston County,https://www.inmateaid.com/prisons/ny-doc-groveland-correctional-facility
New York,Fulton County,https://www.inmateaid.com/prisons/ny-doc-hale-creek-asactc
New York,Columbia County,https://www.inmateaid.com/prisons/columbia-county-ny-jail
New York,New York City,https://www.inmateaid.com/prisons/ny-doc-lincoln-correctional-facility
New York,Livingston County,https://www.inmateaid.com/prisons/ny-doc-livingston-correctional-facility
New York,Onieda County,https://www.inmateaid.com/prisons/ny-doc-marcy-correctional-facility
New York,Onieda County,https://www.inmateaid.com/prisons/ny-doc-mid-state-correctional-facility
New York,Onieda County,https://www.inmateaid.com/prisons/ny-doc-mohawk-correctional-facility
New York,St. Lawrence County,https://www.inmateaid.com/prisons/ny-doc-ogdensburg-correctional-facility
New York,Orleans County,https://www.inmateaid.com/prisons/ny-doc-orleans-correctional-facility
New York,Orange County,https://www.inmateaid.com/prisons/ny-doc-otisville-correctional-facility
New York,Queens County,https://www.inmateaid.com/prisons/ny-doc-queensboro-correctional-facility
New York,St. Lawrence County,https://www.inmateaid.com/prisons/ny-doc-ogdensburg-correctional-facility
New York,Monroe County,https://www.inmateaid.com/prisons/ny-doc-rochester-correctional-facility
New York,Sullivan County,https://www.inmateaid.com/prisons/ny-doc-sullivan-correctional-facility
New York,Franklin County,https://www.inmateaid.com/prisons/ny-doc-upstate-correctional-facility
New York,Jefferson County,https://www.inmateaid.com/prisons/ny-doc-watertown-correctional-facility
New York,Erie County,https://www.inmateaid.com/prisons/ny-doc-wende-correctional-facility
New York,Seneca County,https://www.inmateaid.com/prisons/ny-doc-willard-drug-treatment-campus
New York,Sullivan County,https://www.inmateaid.com/prisons/ny-doc-woodbourne-correctional-facility
Alabama,marshall,http://www.jailtracker.com/marshallcounty/marshall_inmatelist.html
Arkansas,perry,https://jailtracker.com/jtclientweb/(S(dpba203zlj4lzw45jejvio55))/jailtracker/index/Perry_County_IN
Georgia,berrien,http://www.interopweb.com/berrienjailpop/
Georgia,brantley,http://www.interopweb.com/brantleyjailpop/CurrentInmates.aspx
Georgia,bulloch,http://www.interopweb.com/bulloch/
Georgia,carroll,http://www.interopweb.com/Carroll/
Georgia,charlton,http://www.interopweb.com/brantleyjailpop/
Georgia,columbia,http://p2c.columbiacountyso.org/jailinmates.aspx
Georgia,dawson,https://jailtracker.com/jtclientweb/(S(vbualb55eruwen45aj1qiny4))/jailtracker/index/Dawson_County_GA
Georgia,dodge,http://www.interopweb.com/dodgejailpop/CurrentInmates.aspx
Georgia,hart,https://jailtracker.com/jtclientweb/(S(bvhlla45eakdunjwvcv4gq45))/jailtracker/index/HART_COUNTY_KY
Georgia,long,http://interopweb.com/longso/
Georgia,morgan,http://97.82.20.116/jailinmates.aspx
Georgia,tattnall,http://www.interopweb.com/tattnall/CurrentInmates.aspx
Georgia,union,http://interopweb.com/unionjailpop/
Georgia,upson,http://www.interopweb.com/upson/
Nebraska,boyd,http://www.jailtracker.com/boydcodc/boydcountydetention_inmatelist.html
North Carolina,cleveland,http://74.218.167.200/p2c/jailinmates.aspx
North Carolina,lincoln,http://www.lincolnsheriff.org/p2c/jailinmates.aspx
North Dakota,burleigh,https://omsweb.public-safety-cloud.com/jtclientweb/(S(3zu0pgqfrm1j0s501pktqn15))/jailtracker/index/Burleigh_County_ND